,entity_label,entity_text
0,DATE,2021
0,DATE,last month
0,DATE,a few weeks
0,DATE,the end of the year
0,DATE,Friday
0,DATE,"Friday, December 31"
0,DATE,"Dec. 23, 2021"
0,DATE,2019
0,DATE,2020
0,DATE,daily
0,DATE,"Wednesday, Dec. 1, 2021"
0,DATE,recent weeks
0,DATE,recent weeks
0,DATE,Friday
0,DATE,2021
0,DATE,2021
0,DATE,"Jan. 15, 2022"
0,DATE,one week later on Jan. 22
0,DATE,"Feb. 24, 2021"
0,DATE,Wednesday
0,DATE,"April 4, 2018"
0,DATE,last month
0,DATE,last month
0,DATE,"Oct. 25, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,earlier this year
0,DATE,Christmas
0,DATE,this week
0,DATE,January
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,several months
0,DATE,Thursday
0,DATE,"Dec. 23, 2021"
0,DATE,October
0,DATE,two months ago
0,DATE,this week
0,DATE,Wednesday
0,DATE,2021
0,DATE,2021
0,DATE,Monday
0,DATE,just one week
0,DATE,12-year-olds
0,DATE,2021
0,DATE,2021
0,DATE,this week
0,DATE,Tuesday
0,DATE,Wednesday
0,DATE,January
0,DATE,Wednesday
0,DATE,the weeks
0,DATE,"Tuesday, Dec. 21, 2021"
0,DATE,January
0,DATE,the holiday season
0,DATE,"Thursday, Dec. 23, 2021"
0,DATE,2021
0,DATE,2021
0,DATE,the end of August
0,DATE,later in the year
0,DATE,Aug. 20
0,DATE,"Dec. 21, 2021"
0,DATE,last week
0,DATE,Aug. 31
0,DATE,recent days
0,DATE,last week
0,DATE,"Dec. 17, 2021"
0,DATE,the weekend
0,DATE,Tuesday
0,DATE,the last month
0,DATE,Tuesday
0,DATE,three-day
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,weeks
0,DATE,last week
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,"June 7, 2021"
0,DATE,Wednesday
0,DATE,the day Tuesday
0,DATE,"Yesterday, Monday"
0,DATE,every day
0,DATE,last week
0,DATE,"Dec. 21, 2021"
0,DATE,Monday
0,DATE,Monday
0,DATE,Three days earlier
0,DATE,Friday
0,DATE,"Friday, Dec. 17, 2021"
0,DATE,Sunday
0,DATE,Monday
0,DATE,Tuesday
0,DATE,2021
0,DATE,2021
0,DATE,Wednesday
0,DATE,Tuesday
0,DATE,this week
0,DATE,Tuesday
0,DATE,"Wednesday, Dec. 22, 2021"
0,DATE,Tuesday
