url,source
https://www.npr.org/sections/coronavirus-live-updates/2021/12/25/1068023210/cruise-ships-covid-florida,NPR
https://www.npr.org/sections/coronavirus-live-updates/,NPR
https://www.npr.org/sections/goatsandsoda/2021/12/25/1062812413/how-to-raise-kind-kids-a-booze-ban-bts-at-u-n-our-top-non-pandemic-global-storie,NPR
https://ondemand.npr.org/anon.npr-mp3/npr/me/2021/12/20211214_me_omicron_vaccine_effectiveness.mp3?orgId=1&topicId=1031&d=215&story=1062812413&dl=1&sc=siteplayer&size=3448208&dl=1&aw_0_1st.playerid=siteplayer,NPR
https://www.npr.org/sections/coronavirus-live-updates/2021/12/25/1067983492/thousands-more-flights-canceled-on-christmas-day-putting-a-damper-on-holiday-tra,NPR
https://www.npr.org/sections/coronavirus-live-updates/2021/12/24/1067922891/quarantine-essential-workers-new-york,NPR
https://www.npr.org/2021/12/24/1067923677/once-again-covid-means-scaled-back-christmas-celebrations-around-the-world,NPR
https://www.npr.org/2021/12/24/1067888961/pope-francis-christmas-eve-mass-covid,NPR
https://www.npr.org/sections/health-shots/2021/12/24/1066828725/our-whole-family-got-breakthrough-covid-at-thanksgiving-this-is-what-we-learned,NPR
https://www.npr.org/sections/coronavirus-live-updates/2021/12/24/1067795977/some-christmas-travelers-face-cancelled-flights-as-the-omicron-surge-hits-airlin,NPR
https://www.npr.org/sections/goatsandsoda/2021/12/24/1064886621/coronavirus-faq-remind-me-how-do-you-define-mild-moderate-and-severe-covid,NPR
https://www.npr.org/2021/12/24/1067740245/covid-tests-long-lines-holiday,NPR
https://www.npr.org/series/812054919/the-coronavirus-crisis,NPR
https://www.npr.org/2021/12/24/1067772373/covid-19-spike-worsens-africas-severe-poverty-hunger-woes,NPR
https://www.npr.org/2021/12/23/1067221952/covid-19-pill-fda-merck,NPR
https://www.npr.org/sections/health-shots/2021/12/23/1066871176/mask-n95-omicron-contagious,NPR
https://www.npr.org/2021/12/22/1066879001/chicago-and-boston-will-require-proof-of-vaccination-in-indoor-settings,NPR
https://www.npr.org/2021/12/22/1066714092/biden-negative-test-covid-19-air-force-one,NPR
