url,source
https://www.foxnews.com/politics/white-house-turns-down-oct-plan-to-boost-covid-testing-report,FOX
https://www.foxnews.com/politics/chris-coons-announces-he-tested-positive-for-covid-19,FOX
https://www.foxnews.com/politics/truckers-face-looming-vaccine-mandate-for-cross-border-canada-shipments,FOX
https://www.foxnews.com/politics/psaki-biden-think-order-covid-tests-anybody-see-coming,FOX
https://www.foxnews.com/politics/how-well-has-biden-handled-covid-19,FOX
https://www.foxnews.com/politics/americans-wait-covid-19-tests-promised-by-white-house,FOX
https://www.foxnews.com/politics/biden-failure-taliban-takeover-omicron-spread-inability-lead,FOX
https://www.foxnews.com/politics/us-supreme-court-to-hear-oral-arguments-on-challenges-to-bidens-employer-vaccine-mandate,FOX
https://www.foxnews.com/politics/masking-holidays-christmas-governments-covid-coronavirus,FOX
https://www.foxnews.com/politics/gop-lawmakers-demand-pelosi-reopen-capitol-dems-covid-control-americans,FOX
https://www.foxnews.com/politics/squad-member-pressley-demands-return-of-massachusetts-mask-mandate,FOX
https://www.foxnews.com/politics/trump-appreciative-biden-acknowledged-administrations-covid-vaccine-success,FOX
https://www.foxnews.com/politics/25-states-sue-biden-admin-for-enforcing-vaccine-mandate-masks-on-children-and-staff-in-head-start-programs,FOX
https://www.foxnews.com/politics/republicans-accuse-biden-controlling-americans-fear-covid,FOX
https://www.foxnews.com/politics/misleading-claims-white-house-covid-fact-sheet,FOX
https://www.foxnews.com/politics/psaki-grilled-home-covid-tests,FOX
https://www.foxnews.com/politics/biden-vaccine-mandates-unpopular-legal-effective,FOX
https://www.foxnews.com/politics/white-house-mask-all-time-progress-fighting-covid,FOX
https://www.foxnews.com/politics/harris-takes-different-approach-than-biden-refuses-to-blame-unvaccinated-for-covid-waves,FOX
https://www.foxnews.com/politics/sarah-palin-over-my-dead-body-will-i-get-a-covid-19-vaccine,FOX
https://www.foxnews.com/politics/biden-has-close-contact-with-covid-19-positive-staffer,FOX
https://www.foxnews.com/politics/andy-biggs-biden-unvaccinated-ostracize,FOX
https://www.foxnews.com/politics/border-patrol-agent-joe-biden-vaccine-mandate-national-security-nra,FOX
https://www.foxnews.com/politics/outgoing-nih-director-says-hundreds-of-thousands-would-have-died-from-covid-if-us-hadnt-listened-to-him,FOX
https://www.foxnews.com/politics/cory-booker-tests-positive-for-covid-19,FOX
https://www.foxnews.com/politics/elizabeth-warren-announces-she-is-positive-for-covid-despite-being-vaccinated,FOX
https://www.foxnews.com/politics/dc-mayor-bowser-mask-mandate,FOX
https://www.foxnews.com/politics/white-house-clarify-harris-statement-delta-omicron-variants,FOX
https://www.foxnews.com/politics/los-angeles-students-lost-over-90000-days-in-person-schooling-coronavirus-restrictions,FOX
https://www.foxnews.com/politics/michigan-schools-mask-mandates-similar-covid-case-rates,FOX
